ID,Group,Type,Matrix,Mineralisation Style,SuperCRM,Status,Catalogue File Name,URL,Ag(PPM),Ag(%),Ag Method,Al(PPM),Al(%),Al Method,As(PPM),As(%),As Method,Au(PPM),Au(%),Au Method,B(PPM),B(%),B Method,Ba(PPM),Ba(%),Ba Method,Be(PPM),Be(%),Be Method,Bi(PPM),Bi(%),Bi Method,Ca(PPM),Ca(%),Ca Method,Cd(PPM),Cd(%),Cd Method,Ce(PPM),Ce(%),Ce Method,Cl(PPM),Cl(%),Cl Method,Co(PPM),Co(%),Co Method,Cr(PPM),Cr(%),Cr Method,Cs(PPM),Cs(%),Cs Method,Cu(PPM),Cu(%),Cu Method,Dy(PPM),Dy(%),Dy Method,Er(PPM),Er(%),Er Method,Eu(PPM),Eu(%),Eu Method,Fe(PPM),Fe(%),Fe Method,Ga(PPM),Ga(%),Ga Method,Gd(PPM),Gd(%),Gd Method,Ge(PPM),Ge(%),Ge Method,Hf(PPM),Hf(%),Hf Method,Hg(PPM),Hg(%),Hg Method,Ho(PPM),Ho(%),Ho Method,In(PPM),In(%),In Method,Ir(PPM),Ir(%),Ir Method,K(PPM),K(%),K Method,La(PPM),La(%),La Method,Li(PPM),Li(%),Li Method,Lu(PPM),Lu(%),Lu Method,Mg(PPM),Mg(%),Mg Method,Mn(PPM),Mn(%),Mn Method,Mo(PPM),Mo(%),Mo Method,Na(PPM),Na(%),Na Method,Nb(PPM),Nb(%),Nb Method,Nd(PPM),Nd(%),Nd Method,Ni(PPM),Ni(%),Ni Method,P(PPM),P(%),P Method,Pb(PPM),Pb(%),Pb Method,Pd(PPM),Pd(%),Pd Method,Pr(PPM),Pr(%),Pr Method,Pt(PPM),Pt(%),Pt Method,Rb(PPM),Rb(%),Rb Method,Re(PPM),Re(%),Re Method,Rh(PPM),Rh(%),Rh Method,Ru(PPM),Ru(%),Ru Method,S(PPM),S(%),S Method,Sb(PPM),Sb(%),Sb Method,Sc(PPM),Sc(%),Sc Method,Se(PPM),Se(%),Se Method,Si(PPM),Si(%),Si Method,Sm(PPM),Sm(%),Sm Method,Sn(PPM),Sn(%),Sn Method,Sr(PPM),Sr(%),Sr Method,Ta(PPM),Ta(%),Ta Method,Tb(PPM),Tb(%),Tb Method,Te(PPM),Te(%),Te Method,Th(PPM),Th(%),Th Method,Ti(PPM),Ti(%),Ti Method,Tl(PPM),Tl(%),Tl Method,Tm(PPM),Tm(%),Tm Method,U(PPM),U(%),U Method,V(PPM),V(%),V Method,W(PPM),W(%),W Method,Y(PPM),Y(%),Y Method,Yb(PPM),Yb(%),Yb Method,Zn(PPM),Zn(%),Zn Method,Zr(PPM),Zr(%),Zr Method
OREAS0100a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-100a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.000000,0.046700,4-Acid Digestion,,,,17.500000,0.001750,4-Acid Digestion,,,,,,,167.000000,0.016700,4-Acid Digestion,18.9,0.00189,4-Acid Digestion,11.6,0.00116,4-Acid Digestion,3.7,0.00037,4-Acid Digestion,45100.000000,4.510000,4-Acid Digestion,,,,20.3,0.00203,4-Acid Digestion,,,,,,,,,,3.66,0.000366,4-Acid Digestion,,,,,,,38000.0,3.8,4-Acid Digestion,259.0,0.0259,4-Acid Digestion,,,,1.56,0.000156,4-Acid Digestion,8100.0,0.81,4-Acid Digestion,532.000000,0.053200,4-Acid Digestion,22.2,0.00222,4-Acid Digestion,,,,,,,152.000000,0.015200,4-Acid Digestion,20.0 INDICATIVE,0.002 INDICATIVE,Borate / Peroxide Fusion ICP,487.0,0.0487,4-Acid Digestion,13.2,0.00132,4-Acid Digestion,,,,47.1,0.00471,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,0.00236,Borate / Peroxide Fusion ICP,,,,,,,,,,3.25,0.000325,4-Acid Digestion,,,,49.2,0.00492,4-Acid Digestion,2180.0,0.218,4-Acid Digestion,,,,1.61,0.000161,4-Acid Digestion,130.0,0.013,4-Acid Digestion,36.7,0.00367,Borate / Peroxide Fusion ICP,,,,96.000000,0.009600,4-Acid Digestion,11.4,0.00114,4-Acid Digestion,,,,,,
OREAS0101a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-101a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390.000000,0.139000,4-Acid Digestion,,,,46.900000,0.004690,4-Acid Digestion,,,,,,,418.000000,0.041800,4-Acid Digestion,28.2,0.00282,4-Acid Digestion,16.2,0.00162,4-Acid Digestion,8.4,0.00084,4-Acid Digestion,107000.000000,10.700000,4-Acid Digestion,,,,42.0,0.0042,4-Acid Digestion,,,,,,,,,,5.2,0.00052,4-Acid Digestion,,,,,,,22000.0,2.2,4-Acid Digestion,807.0,0.0807,4-Acid Digestion,,,,1.99,0.000199,4-Acid Digestion,12000.0,1.2,4-Acid Digestion,977.000000,0.097700,4-Acid Digestion,20.4,0.00204,4-Acid Digestion,,,,,,,397.000000,0.039700,4-Acid Digestion,,,,1159.0,0.1159,4-Acid Digestion,23.0,0.0023,4-Acid Digestion,,,,131.0,0.0131,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,0.00488,Borate / Peroxide Fusion ICP,,,,,,,,,,5.3,0.00053,4-Acid Digestion,,,,35.1,0.00351,4-Acid Digestion,3530.0,0.353,4-Acid Digestion,,,,2.12,0.000212,4-Acid Digestion,410.0,0.041,4-Acid Digestion,83.0,0.0083,Borate / Peroxide Fusion ICP,,,,135.000000,0.013500,4-Acid Digestion,14.7,0.00147,4-Acid Digestion,,,,,,
OREAS0101b,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-101b/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325.000000,0.132500,4-Acid Digestion,,,,45.000000,0.004500,4-Acid Digestion,,,,,,,412.000000,0.041200,4-Acid Digestion,27.0,0.0027,4-Acid Digestion,15.0,0.0015,4-Acid Digestion,8.1,0.00081,4-Acid Digestion,107000.000000,10.700000,4-Acid Digestion,,,,40.0,0.004,4-Acid Digestion,,,,,,,,,,5.2,0.00052,4-Acid Digestion,,,,,,,23600.0,2.36,4-Acid Digestion,754.0,0.0754,4-Acid Digestion,,,,1.96,0.000196,4-Acid Digestion,12300.0,1.23,4-Acid Digestion,927.000000,0.092700,4-Acid Digestion,20.1,0.00201,4-Acid Digestion,,,,,,,388.000000,0.038800,4-Acid Digestion,,,,1118.0,0.1118,4-Acid Digestion,23.0,0.0023,4-Acid Digestion,,,,127.0,0.0127,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,0.0048,Borate / Peroxide Fusion ICP,,,,,,,,,,5.4,0.00054,4-Acid Digestion,,,,36.4,0.00364,4-Acid Digestion,3500.0,0.35,4-Acid Digestion,,,,2.08,0.000208,4-Acid Digestion,387.0,0.0387,4-Acid Digestion,80.0,0.008,Borate / Peroxide Fusion ICP,,,,133.000000,0.013300,4-Acid Digestion,13.9,0.00139,4-Acid Digestion,,,,,,
OREAS0102a,U ore,primary,granitic/haematitic breccia,hydrothermal IOCG variant,no,Current,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-102a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.000000,0.057300,4-Acid Digestion,,,,38.900000,0.003890,4-Acid Digestion,,,,,,,290.000000,0.029000,4-Acid Digestion,12.9,0.00129,4-Acid Digestion,7.4,0.00074,4-Acid Digestion,3.84,0.000384,4-Acid Digestion,56500.000000,5.650000,4-Acid Digestion,,,,18.5,0.00185,4-Acid Digestion,,,,,,,,,,2.45,0.000245,4-Acid Digestion,,,,,,,36400.0,3.64,4-Acid Digestion,317.0,0.0317,4-Acid Digestion,,,,1.04,0.000104,4-Acid Digestion,13100.0,1.31,4-Acid Digestion,448.000000,0.044800,4-Acid Digestion,13.6,0.00136,4-Acid Digestion,,,,,,,180.000000,0.018000,4-Acid Digestion,,,,563.0,0.0563,4-Acid Digestion,14.0,0.0014,4-Acid Digestion,,,,57.0,0.0057,4-Acid Digestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,0.00247,Borate / Peroxide Fusion ICP,,,,,,,,,,2.56,0.000256,4-Acid Digestion,,,,38.5,0.00385,4-Acid Digestion,1640.0,0.164,4-Acid Digestion,,,,1.04,0.000104,4-Acid Digestion,638.0,0.0638,4-Acid Digestion,35.0,0.0035,Borate / Peroxide Fusion ICP,,,,64.000000,0.006400,4-Acid Digestion,7.2,0.00072,4-Acid Digestion,,,,,,
OREAS0104,U ore,primary,granitic/gneissic,epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-104/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.000000,0.010200,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,7.11,0.000711,Borate / Peroxide Fusion ICP,3.9,0.00039,Borate / Peroxide Fusion ICP,1.29,0.000129,Borate / Peroxide Fusion ICP,,,,,,,9.4,0.00094,Borate / Peroxide Fusion ICP,,,,,,,,,,1.36,0.000136,Borate / Peroxide Fusion ICP,,,,,,,23900.0,2.39,Borate / Peroxide Fusion ICP,48.8,0.00488,Borate / Peroxide Fusion ICP,,,,0.48,4.8e-05,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,49.500000,0.004950,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,12.8,0.00128,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,0.00105,Borate / Peroxide Fusion ICP,,,,,,,,,,1.39,0.000139,Borate / Peroxide Fusion ICP,,,,154.0,0.0154,Pressed Powder Pellet XRF,,,,,,,0.57,5.7e-05,Borate / Peroxide Fusion ICP,125.0,0.0125,Pressed Powder Pellet XRF,,,,,,,,,,3.43,0.000343,Borate / Peroxide Fusion ICP,,,,,,
OREAS0105,U ore,primary,granitic/gneissic,epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-105/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.000000,0.011700,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,12.2,0.00122,Borate / Peroxide Fusion ICP,7.5,0.00075,Borate / Peroxide Fusion ICP,1.5,0.00015,Borate / Peroxide Fusion ICP,,,,,,,13.0,0.0013,Borate / Peroxide Fusion ICP,,,,,,,,,,2.44,0.000244,Borate / Peroxide Fusion ICP,,,,,,,19700.0,1.97,Borate / Peroxide Fusion ICP,51.0,0.0051,Borate / Peroxide Fusion ICP,,,,0.99,9.9e-05,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,64.000000,0.006400,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,16.0,0.0016,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,0.00148,Borate / Peroxide Fusion ICP,,,,,,,,,,2.18,0.000218,Borate / Peroxide Fusion ICP,,,,382.0,0.0382,Pressed Powder Pellet XRF,,,,,,,1.14,0.000114,Borate / Peroxide Fusion ICP,563.0,0.0563,Pressed Powder Pellet XRF,,,,,,,,,,7.3,0.00073,Borate / Peroxide Fusion ICP,,,,,,
OREAS0106,U ore,primary,granitic/gneissic,epithermal,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-106/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.000000,0.013700,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,19.0,0.0019,Borate / Peroxide Fusion ICP,12.2,0.00122,Borate / Peroxide Fusion ICP,2.0,0.0002,Borate / Peroxide Fusion ICP,,,,,,,18.2,0.00182,Borate / Peroxide Fusion ICP,,,,,,,,,,3.9,0.00039,Borate / Peroxide Fusion ICP,,,,,,,15900.0,1.59,Borate / Peroxide Fusion ICP,54.0,0.0054,Borate / Peroxide Fusion ICP,,,,1.66,0.000166,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,84.000000,0.008400,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,19.7,0.00197,Borate / Peroxide Fusion ICP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,0.00207,Borate / Peroxide Fusion ICP,,,,,,,,,,3.1,0.00031,Borate / Peroxide Fusion ICP,,,,689.0,0.0689,Pressed Powder Pellet XRF,,,,,,,1.88,0.000188,Borate / Peroxide Fusion ICP,1213.0,0.1213,Pressed Powder Pellet XRF,,,,,,,,,,12.1,0.00121,Borate / Peroxide Fusion ICP,,,,,,
OREAS0010c,"Au >1 ppm, Au only",primary,metasediment/basalt,orogenic lode gold,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-10c/,,,,,,,,,,6.6,0.00066,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0010P,Au >1 ppm,primary,metasediment/basalt,orogenic lode gold,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-10P/,,,,,,,,,,6.81,0.000681,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OREAS0010Pb,Au >1 ppm,primary,metasediment/basalt,orogenic lode gold,no,Archived,oreas-catalogue-2023-11-03.csv,https://www.oreas.com/crm/OREAS-10Pb/,,,,,,,,,,7.15,0.000715,Pb Fire Assay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
